title,city,state,postal_code,price,features,provider,url,address
Townhouse for sale,Houston,TX,77036,"$65,000 ","2 bds, 3.0 ba ,1312 sqft","eXp Realty, LLC", 9350 Country Creek Dr APT 10 Houston TX 77036/2087457034_zpid/, 9350 Country Creek Dr #10 Houston TX 
Townhouse for sale,Houston,TX,77036,"$48,900 ","1 bds, 1.0 ba ,684 sqft",Famous Town Realty, 9350 Country Creek Dr APT 52 Houston TX 77036/2080281876_zpid/, 9350 Country Creek Dr #52 Houston TX 
House for sale,Missouri City,TX,77489,"$229,990 ","4 bds, 3.0 ba ,2481 sqft",Jane Byrd Properties INTL., 935 Crestmont Trail Dr Missouri City TX 77489/84748711_zpid/, 935 Crestmont Trail Dr Missouri City TX 
House for sale,Houston,TX,77063,"$319,990 ","4 bds, 3.0 ba ,1870 sqft",Priority One Real Estate, 9322 Meadowglen Ln Houston TX 77063/28074891_zpid/, 9322 Meadowglen Ln Houston TX 
House for sale,Houston,TX,77063,"$310,000 ","3 bds, 2.0 ba ,1623 sqft",West Houston Realty, 9315 Meadowglen Ln Houston TX 77063/28074946_zpid/, 9315 Meadowglen Ln Houston TX 
House for sale,Houston,TX,77074,"$219,900 ","4 bds, 3.0 ba ,2529 sqft","REPA, LLC", 9307 Braes Bayou Dr Houston TX 77074/28000907_zpid/, 9307 Braes Bayou Dr Houston TX 
House for sale,Houston,TX,77083,"$245,500 ","4 bds, 3.0 ba ,2628 sqft","American First Realty, LLC", 9235 Hodges Bend Dr Houston TX 77083/54638467_zpid/, 9235 Hodges Bend Dr Houston TX 
House for sale,Houston,TX,77036,"$249,900 ","5 bds, 4.0 ba ,2276 sqft",Future Star Realty, 9214 Rowan Ln Houston TX 77036/28071782_zpid/, 9214 Rowan Ln Houston TX 
House for sale,Houston,TX,77031,"$190,000 ","4 bds, 2.0 ba ,1885 sqft",Keller Williams Realty, 9206 Tooley Dr Houston TX 77031/28140555_zpid/, 9206 Tooley Dr Houston TX 
House for sale,Houston,TX,77083,"$279,000 ","4 bds, 3.0 ba ,2637 sqft",NB Elite Realty, 9203 Havencrest Dr Houston TX 77083/27589818_zpid/, 9203 Havencrest Dr Houston TX 
Townhouse for sale,Houston,TX,77036,"$125,000 ","2 bds, 2.0 ba ,1250 sqft",Keller Williams Realty, 9201 Clarewood Dr APT 16 Houston TX 77036/28515586_zpid/, 9201 Clarewood Dr #16 Houston TX 
House for sale,Bellaire,TX,77401,"$995,000 ","4 bds, 5.0 ba ,4733 sqft",Better Homes and Gardens Real Estate Gary Greene, 915 Mulberry Ln Bellaire TX 77401/27906285_zpid/, 915 Mulberry Ln Bellaire TX 
House for sale,Houston,TX,77036,"$259,900 ","4 bds, 3.0 ba ,2415 sqft",Exceed Realty, 9126 Grape St Houston TX 77036/28073055_zpid/, 9126 Grape St Houston TX 
House for sale,Houston,TX,77036,"$317,000 ","8 bds, 2.0 ba ,3207 sqft",RE/MAX Fine Properties, 9119 Concho St Houston TX 77036/28072806_zpid/, 9119 Concho St Houston TX 
Condo for sale,Houston,TX,77036,"$69,000 ","2 bds, 2.0 ba ,980 sqft","Houston   WEICHERT, REALTORS   The Murray Group", 9117 Imogene St 117 Houston TX 77036/28406155_zpid/, 9117 Imogene St 117 Houston TX 
House for sale,Houston,TX,77025,"$395,000 ","3 bds, 2.0 ba ,2386 sqft",Greenwood King Properties, 9103 Timberside Dr Houston TX 77025/27982046_zpid/, 9103 Timberside Dr Houston TX 
House for sale,Houston,TX,77063,"$1,999,999 ","4 bds, 7.0 ba ,6376 sqft","Compass RE Texas, LLC", 907 Huntington Cv Houston TX 77063/28517184_zpid/, 907 Huntington Cv Houston TX 
House for sale,Houston,TX,77077,"$380,000 ","3 bds, 3.0 ba ,2621 sqft",Keller Williams Realty, 906 Ashford Pkwy Houston TX 77077/28116444_zpid/, 906 Ashford Pkwy Houston TX 
House for sale,Houston,TX,77079,"$329,000 ","2 bds, 2.0 ba ,2123 sqft",Energy Realty, 904 Fleetwood Place Dr Houston TX 77079/28256506_zpid/, 904 Fleetwood Place Dr Houston TX 
House for sale,Houston,TX,77024,"$6,500,000 ","5 bds, 8.0 ba ,10448 sqft",Martha Turner Sotheby's, 9010 Sandringham Dr Houston TX 77024/27886712_zpid/, 9010 Sandringham Dr Houston TX 
Townhouse for sale,Houston,TX,77024,"$117,900 ","1 bds, 1.0 ba ,672 sqft","Welcome Home Residential, LLC", 9007 Gaylord Dr Houston TX 77024/2079353505_zpid/, 9007 Gaylord Dr Houston TX 
House for sale,Houston,TX,77099,"$159,990 ","3 bds, 2.0 ba ,1400 sqft",REALM Real Estate Professional, 9006 Kindlewood Dr Houston TX 77099/28318129_zpid/, 9006 Kindlewood Dr Houston TX 
Condo for sale,Houston,TX,77024,"$275,000 ","2 bds, 3.0 ba ,1600 sqft",Better Homes and Gardens Real Estate Gary Greene, 8958 Chatsworth Dr 8958 Houston TX 77024/28302417_zpid/, 8958 Chatsworth Dr 8958 Houston TX 
House for sale,Houston,TX,77074,"$482,900 ","2 bds, 2.0 ba ,992 sqft",Trini J & CommerXial RE, 8939 Wateka Dr Houston TX 77074/27906489_zpid/, 8939 Wateka Dr Houston TX 
House for sale,Houston,TX,77099,"$245,500 ","3 bds, 3.0 ba ,2193 sqft","eXp Realty, LLC", 8918 Kalewood Dr Houston TX 77099/28317944_zpid/, 8918 Kalewood Dr Houston TX 
House for sale,Houston,TX,77096,"$550,000 ","3 bds, 4.0 ba ,3189 sqft",Martha Turner Sotheby's, 8914 Wallington Dr Houston TX 77096/28518366_zpid/, 8914 Wallington Dr Houston TX 
House for sale,Houston,TX,77031,"$299,900 ","4 bds, 3.0 ba ,2436 sqft",Winhill Advisors   Kirby, 8914 Haverstock Dr Houston TX 77031/28189557_zpid/, 8914 Haverstock Dr Houston TX 
Lot / Land for sale,Houston,TX,77096,"$300,000 ","3 bds, None ba ,1915 sqft",Ultimate Realty, 8911 Endicott Ln Houston TX 77096/28025568_zpid/, 8911 Endicott Ln Houston TX 
House for sale,Houston,TX,77083,"$260,000 ","4 bds, 3.0 ba ,2240 sqft",REALM Real Estate Professional, 8910 Norham Dr Houston TX 77083/27570315_zpid/, 8910 Norham Dr Houston TX 
Townhouse for sale,Houston,TX,77079,"$170,000 ","1 bds, 2.0 ba ,1018 sqft",Equicap Brokerage LLC, 891 Wax Myrtle Ln Houston TX 77079/28375602_zpid/, 891 Wax Myrtle Ln Houston TX 
House for sale,Houston,TX,77074,"$185,000 ","4 bds, 2.0 ba ,1670 sqft",Complete Property Services, 8823 Shadow Crest St Houston TX 77074/28033472_zpid/, 8823 Shadow Crest St Houston TX 
House for sale,Houston,TX,77096,"$275,000 ","0 bds, 2.0 ba ,2086 sqft","Coldwell Banker United,", 8819 S Rice Ave Houston TX 77096/28044613_zpid/, 8819 S Rice Ave Houston TX 
House for sale,Houston,TX,77074,"$184,000 ","3 bds, 2.0 ba ,1417 sqft",Abby Realty, 8818 Reamer St Houston TX 77074/28033482_zpid/, 8818 Reamer St Houston TX 
House for sale,Houston,TX,77083,"$309,000 ","4 bds, 4.0 ba ,2854 sqft","AMIN REALTY,INC", 8818 Cedar Mound Ln Houston TX 77083/118392441_zpid/, 8818 Cedar Mound Ln Houston TX 
Townhouse for sale,Houston,TX,77071,"$70,000 ","2 bds, 2.0 ba ,1120 sqft",Keller Williams Realty, 8720 Victorian Village Dr 8720 Houston TX 77071/28466834_zpid/, 8720 Victorian Village Dr 8720 Houston TX 
For sale by owner,Houston,TX,77099,"$150,000 ","3 bds, 2.0 ba ,1614 sqft",, 8718 Ketchwood Dr Houston TX 77099/28318082_zpid/, 8718 Ketchwood Dr Houston TX 
Townhouse for sale,Houston,TX,77071,"$65,000 ","2 bds, 1.0 ba ,1120 sqft",First US Services & Channels, 8710 Victorian Village Dr 8710 Houston TX 77071/28466829_zpid/, 8710 Victorian Village Dr 8710 Houston TX 
House for sale,Houston,TX,77024,"$1,800,000 ","5 bds, 6.0 ba ,5421 sqft",Martha Turner Sotheby's, 8623 Pasture View Ln Houston TX 77024/28504500_zpid/, 8623 Pasture View Ln Houston TX 
House for sale,Houston,TX,77071,"$149,350 ","3 bds, 2.0 ba ,1401 sqft",RE/MAX Fine Properties, 8515 Sandy Glen Ln Houston TX 77071/28331406_zpid/, 8515 Sandy Glen Ln Houston TX 
House for sale,Houston,TX,77071,"$229,900 ","4 bds, 3.0 ba ,2244 sqft",RE/MAX Executives, 8503 Twin Hills Dr Houston TX 77071/28099483_zpid/, 8503 Twin Hills Dr Houston TX 
Townhouse for sale,Houston,TX,77036,"$99,800 ","2 bds, 2.0 ba ,1103 sqft",Steel Door Realty, 8435 Sands Point Dr Houston TX 77036/28421790_zpid/, 8435 Sands Point Dr Houston TX 
Townhouse for sale,Houston,TX,77074,"$139,900 ","3 bds, 3.0 ba ,1804 sqft","Coldwell Banker United,", 8421 Wednesbury Ln 8421 Houston TX 77074/2080103812_zpid/, 8421 Wednesbury Ln 8421 Houston TX 
House for sale,Houston,TX,77079,"$599,000 ","4 bds, 3.0 ba ,2690 sqft",Halfon Real Estate LLC, 842 W Forest Dr Houston TX 77079/28090934_zpid/, 842 W Forest Dr Houston TX 
House for sale,Houston,TX,77025,"$960,000 ","5 bds, 4.0 ba ,4545 sqft",Martha Turner Sotheby's, 8418 Bluegate St Houston TX 77025/27986265_zpid/, 8418 Bluegate St Houston TX 
House for sale,Houston,TX,77071,"$269,000 ","3 bds, 3.0 ba ,2176 sqft",Keller Williams Realty, 8415 Twin Hills Dr Houston TX 77071/28099482_zpid/, 8415 Twin Hills Dr Houston TX 
House for sale,Houston,TX,77025,"$529,000 ","3 bds, 2.0 ba ,1874 sqft","Compass RE Texas, LLC", 8411 Bluegate Ct Houston TX 77025/27986225_zpid/, 8411 Bluegate Ct Houston TX 
Townhouse for sale,Houston,TX,77036,"$85,000 ","2 bds, 2.0 ba ,1103 sqft",Steel Door Realty, 8351 Sands Point Dr Houston TX 77036/2080257508_zpid/, 8351 Sands Point Dr Houston TX 
House for sale,Houston,TX,77071,"$279,000 ","4 bds, 4.0 ba ,3695 sqft",JPAR   The Sears Group, 8314 Fawn Terrace Dr Houston TX 77071/28411466_zpid/, 8314 Fawn Terrace Dr Houston TX 
House for sale,Houston,TX,77096,"$310,000 ","4 bds, 2.0 ba ,2288 sqft",Keller Williams Realty, 8311 Ashcroft Dr Houston TX 77096/28055346_zpid/, 8311 Ashcroft Dr Houston TX 
House for sale,Houston,TX,77074,"$130,000 ","3 bds, 3.0 ba ,1764 sqft",Lions Gate Realty, 8303 Ariel St Houston TX 77074/28225698_zpid/, 8303 Ariel St Houston TX 
Townhouse for sale,Houston,TX,77036,"$89,900 ","2 bds, 2.0 ba ,1023 sqft",Flex Team Realty, 8301 Sands Point Dr Houston TX 77036/2083564686_zpid/, 8301 Sands Point Dr Houston TX 
House for sale,Sugar Land,TX,77478,"$395,000 ","4 bds, 3.0 ba ,2863 sqft",Keller Williams Realty  SW, 823 Merrick Dr Sugar Land TX 77478/27609306_zpid/, 823 Merrick Dr Sugar Land TX 
Townhouse for sale,Houston,TX,77024,"$147,500 ","1 bds, 1.0 ba ,800 sqft",Keller Williams Realty, 8227 Kingsbrook Rd APT 221 Houston TX 77024/28324670_zpid/, 8227 Kingsbrook Rd #221 Houston TX 
House for sale,Houston,TX,77083,"$239,900 ","4 bds, 3.0 ba ,2313 sqft",Keller Williams Realty, 8218 Alannah Lagoon Dr Houston TX 77083/82718437_zpid/, 8218 Alannah Lagoon Dr Houston TX 
House for sale,Houston,TX,77036,"$285,000 ","4 bds, 2.0 ba ,2151 sqft",RE/MAX Executives, 8215 Hazen St Houston TX 77036/28071376_zpid/, 8215 Hazen St Houston TX 
House for sale,Houston,TX,77083,"$235,000 ","3 bds, 2.0 ba ,2044 sqft",Realty Associates, 8214 Cliffshire Ct Houston TX 77083/27582332_zpid/, 8214 Cliffshire Ct Houston TX 
House for sale,Houston,TX,77036,"$250,000 ","3 bds, 2.0 ba ,1818 sqft",Champions Real Estate Group, 8207 Sharpcrest St Houston TX 77036/28071184_zpid/, 8207 Sharpcrest St Houston TX 
House for sale,Houston,TX,77036,"$195,000 ","3 bds, 2.0 ba ,1660 sqft",Tasek Realty, 8203 Augustine Dr Houston TX 77036/28073095_zpid/, 8203 Augustine Dr Houston TX 
House for sale,Houston,TX,77036,"$229,900 ","3 bds, 2.0 ba ,1752 sqft",Showplace Real Estate, 8202 Concho St Houston TX 77036/28071251_zpid/, 8202 Concho St Houston TX 
Townhouse for sale,Houston,TX,77072,"$162,000 ","3 bds, 3.0 ba ,1620 sqft",Precious Realty & Mortgage, 8139 Barnes Ridge Ln Houston TX 77072/80578714_zpid/, 8139 Barnes Ridge Ln Houston TX 
House for sale,Houston,TX,77071,"$279,000 ","4 bds, 4.0 ba ,2606 sqft",Summit Realty, 8122 Braes Meadow Dr Houston TX 77071/28086028_zpid/, 8122 Braes Meadow Dr Houston TX 
House for sale,Houston,TX,77071,"$243,000 ","4 bds, 3.0 ba ,2810 sqft",Flat Fee Discount Realty, 8115 Twin Hills Dr Houston TX 77071/28086082_zpid/, 8115 Twin Hills Dr Houston TX 
House for sale,Houston,TX,77083,"$180,000 ","3 bds, 2.0 ba ,1431 sqft",City Group, 8111 Valeta Dr Houston TX 77083/27581074_zpid/, 8111 Valeta Dr Houston TX 
Townhouse for sale,Houston,TX,77079,"$200,000 ","4 bds, 3.0 ba ,2008 sqft",Texas International Realty, 811 Threadneedle St APT 272 Houston TX 77079/28417883_zpid/, 811 Threadneedle St #272 Houston TX 
Townhouse for sale,Houston,TX,77071,"$47,900 ","2 bds, 2.0 ba ,807 sqft",Crown Eagle Realty, 8100 Creekbend Dr APT 188 Houston TX 77071/89650486_zpid/, 8100 Creekbend Dr #188 Houston TX 
House for sale,Missouri City,TX,77489,"$195,000 ","4 bds, 3.0 ba ,2226 sqft","eXp Realty, LLC", 804 Mockingbird Ln Missouri City TX 77489/27532071_zpid/, 804 Mockingbird Ln Missouri City TX 
House for sale,Bellaire,TX,77401,"$1,349,000 ","5 bds, 5.0 ba ,4665 sqft",Douglas Elliman, 802 N 3rd St Bellaire TX 77401/27908311_zpid/, 802 N 3rd St Bellaire TX 
House for sale,Houston,TX,77071,"$330,000 ","3 bds, 3.0 ba ,2439 sqft",Keller Williams Professionals, 8019 Burning Hills Dr Houston TX 77071/28086048_zpid/, 8019 Burning Hills Dr Houston TX 
House for sale,Houston,TX,77025,"$419,000 ","3 bds, 3.0 ba ,1880 sqft",RE/MAX Southwest, 8018 Buffalo Speedway Houston TX 77025/27958783_zpid/, 8018 Buffalo Speedway Houston TX 
House for sale,Bellaire,TX,77401,"$395,000 ","3 bds, 2.0 ba ,1659 sqft",Keller Williams Realty, 801 Woodstock St Bellaire TX 77401/27977688_zpid/, 801 Woodstock St Bellaire TX 
House for sale,Houston,TX,77083,"$260,000 ","5 bds, 3.0 ba ,3300 sqft","Alpha, REALTORS", 8007 Vista Del Rancho Dr Houston TX 77083/70300475_zpid/, 8007 Vista Del Rancho Dr Houston TX 
House for sale,Houston,TX,77036,"$234,500 ","3 bds, 2.0 ba ,1784 sqft",Vip Realty, 8007 Concho St Houston TX 77036/28071358_zpid/, 8007 Concho St Houston TX 
Foreclosure,Houston,TX,77071,"$244,000 ","4 bds, 3.0 ba ,3642 sqft","Van Slyke Real Estate, LLC", 8002 Harbor Point Dr Houston TX 77071/68408133_zpid/, 8002 Harbor Point Dr Houston TX 
House for sale,Houston,TX,77071,"$314,500 ","4 bds, 2.0 ba ,2527 sqft",Champions Real Estate Group, 7922 Braesdale Ln Houston TX 77071/28060650_zpid/, 7922 Braesdale Ln Houston TX 
House for sale,Houston,TX,77063,"$415,000 ","2 bds, 2.0 ba ,1802 sqft","Compass RE Texas, LLC", 7919 Skyline Dr Houston TX 77063/28042943_zpid/, 7919 Skyline Dr Houston TX 
Townhouse for sale,Houston,TX,77036,"$74,500 ","3 bds, 2.0 ba ,1381 sqft",RE/MAX United, 7918 Prestwood Dr APT 7 Houston TX 77036/28302342_zpid/, 7918 Prestwood Dr #7 Houston TX 
Townhouse for sale,Houston,TX,77036,"$99,000 ","2 bds, 3.0 ba ,1416 sqft",RE/MAX Southwest, 7918 Prestwood Dr APT 9 Houston TX 77036/28302344_zpid/, 7918 Prestwood Dr #9 Houston TX 
Townhouse for sale,Houston,TX,77036,"$109,000 ","2 bds, 3.0 ba ,1416 sqft","Coldwell Banker United,", 7918 Prestwood Dr APT 23 Houston TX 77036/28302358_zpid/, 7918 Prestwood Dr #23 Houston TX 
Townhouse for sale,Houston,TX,77072,"$80,000 ","2 bds, 2.0 ba ,1024 sqft",Keller Williams Realty, 7895 Cook Rd Houston TX 77072/28221323_zpid/, 7895 Cook Rd Houston TX 
For sale by owner,Houston,TX,77072,"$80,000 ","2 bds, 2.0 ba ,1024 sqft",, 7829 Cook Rd Houston TX 77072/28221290_zpid/, 7829 Cook Rd Houston TX 
House for sale,Houston,TX,77036,"$279,900 ","3 bds, 2.0 ba ,2121 sqft",World Wide Realty, 7823 Gulfton St Houston TX 77036/28067885_zpid/, 7823 Gulfton St Houston TX 
House for sale,Houston,TX,77071,"$198,000 ","3 bds, 2.0 ba ,1780 sqft",World Elite Realty, 7819 Rollingbrook Dr Houston TX 77071/28179267_zpid/, 7819 Rollingbrook Dr Houston TX 
House for sale,Houston,TX,77074,"$229,921 ","4 bds, 3.0 ba ,2254 sqft",Keller Williams Realty, 7813 Valley View Ln Houston TX 77074/28000877_zpid/, 7813 Valley View Ln Houston TX 
House for sale,Houston,TX,77071,"$209,900 ","3 bds, 3.0 ba ,2208 sqft","CB & A, Realtors", 7811 La Rochelle Cir Houston TX 77071/28418099_zpid/, 7811 La Rochelle Cir Houston TX 
House for sale,Houston,TX,77063,"$589,000 ","4 bds, 2.0 ba ,1888 sqft","Compass RE Texas, LLC", 7803 Locke Ln Houston TX 77063/28036377_zpid/, 7803 Locke Ln Houston TX 
House for sale,Houston,TX,77074,"$375,000 ","5 bds, 4.0 ba ,3466 sqft",C & K Properties, 7800 Nairn St Houston TX 77074/28034474_zpid/, 7800 Nairn St Houston TX 
House for sale,Houston,TX,77036,"$229,000 ","3 bds, 2.0 ba ,1656 sqft","The Real Estate People, LLC", 7731 Kensico Rd Houston TX 77036/28070958_zpid/, 7731 Kensico Rd Houston TX 
House for sale,Houston,TX,77071,"$307,000 ","3 bds, 2.0 ba ,2172 sqft",Found Realty, 7726 Del Rey Ln Houston TX 77071/28132926_zpid/,7726 Del Rey Ln Houston TX
House for sale,Houston,TX,77071,"$309,000 ","4 bds, 2.0 ba ,2104 sqft",Perry's Realty, 7722 Braesdale Ln Houston TX 77071/28132940_zpid/,7722 Braesdale Ln Houston TX
House for sale,Houston,TX,77071,"$325,000 ","5 bds, 3.0 ba ,2441 sqft",Martha Turner Sotheby's, 7622 Braesview Ln Houston TX 77071/28132962_zpid/, 7622 Braesview Ln Houston TX 
Townhouse for sale,Houston,TX,77063,"$462,000 ","3 bds, 3.0 ba ,2707 sqft",Mike Turner Properties, 7620 Olympia Dr Houston TX 77063/28106258_zpid/, 7620 Olympia Dr Houston TX 
House for sale,Houston,TX,77079,"$359,000 ","3 bds, 3.0 ba ,2365 sqft",Champions Real Estate Group, 762 Bison Dr Houston TX 77079/28120370_zpid/, 762 Bison Dr Houston TX 
House for sale,Houston,TX,77071,"$275,000 ","5 bds, 5.0 ba ,4359 sqft",Martha Turner Sotheby's, 7618 Claridge Dr Houston TX 77071/84056450_zpid/, 7618 Claridge Dr Houston TX 
House for sale,Houston,TX,77072,"$179,999 ","3 bds, 2.0 ba ,1736 sqft","Coldwell Banker United,", 7611 Winter Glen Ln Houston TX 77072/28263058_zpid/, 7611 Winter Glen Ln Houston TX 
House for sale,Houston,TX,77074,"$228,000 ","3 bds, 2.0 ba ,1916 sqft",Prime Realty Group, 7602 Jackwood St Houston TX 77074/28064052_zpid/, 7602 Jackwood St Houston TX 
Townhouse for sale,Houston,TX,77057,"$269,000 ","2 bds, 3.0 ba ,1560 sqft",Martha Turner Sotheby's, 760 Augusta Dr 760 Houston TX 77057/28263940_zpid/, 760 Augusta Dr 760 Houston TX 
Condo for sale,Houston,TX,77036,"$125,000 ","2 bds, 2.0 ba ,1109 sqft",RE/MAX Fine Properties, 7520 Hornwood Dr APT 1205 Houston TX 77036/2079304401_zpid/, 7520 Hornwood Dr #1205 Houston TX 
House for sale,Houston,TX,77072,"$197,500 ","4 bds, 2.0 ba ,1843 sqft",Texas Flagship Property, 7511 Universal Dr Houston TX 77072/28127897_zpid/, 7511 Universal Dr Houston TX 
Condo for sale,Houston,TX,77036,"$149,499 ","3 bds, 2.0 ba ,1109 sqft",Confidant Realty Advisors LLC, 7510 Hornwood Dr APT 205 Houston TX 77036/28348555_zpid/, 7510 Hornwood Dr #205 Houston TX 
For sale by owner,Houston,TX,77074,"$210,000 ","3 bds, 2.0 ba ,1419 sqft",, 7506 Bintliff Dr Houston TX 77074/28037618_zpid/, 7506 Bintliff Dr Houston TX 
House for sale,Houston,TX,77083,"$169,000 ","3 bds, 3.0 ba ,1405 sqft",City Group, 7502 Tetela Dr Houston TX 77083/27582873_zpid/, 7502 Tetela Dr Houston TX 
House for sale,Houston,TX,77074,"$480,000 ","5 bds, 4.0 ba ,4616 sqft",Century 21 Olympian Central, 7445 Wanda Ln Houston TX 77074/27798171_zpid/, 7445 Wanda Ln Houston TX 
House for sale,Sugar Land,TX,77479,"$275,000 ","4 bds, 3.0 ba ,2215 sqft",Redfin Corporation, 7419 Timber Ridge Trl Sugar Land TX 77479/27556964_zpid/, 7419 Timber Ridge Trl Sugar Land TX 
House for sale,Houston,TX,77036,"$212,000 ","3 bds, 2.0 ba ,1660 sqft",Walzel Properties, 7418 Pella Dr Houston TX 77036/28072184_zpid/, 7418 Pella Dr Houston TX 
House for sale,Sugar Land,TX,77479,"$577,000 ","5 bds, 4.0 ba ,3801 sqft",Meridian Real Estate, 7411 Baldwin Xing Sugar Land TX 77479/72062259_zpid/, 7411 Baldwin Xing Sugar Land TX 
